start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.390,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",111.206.176.78,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.399,1069
111.206.176.78,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.399,11629
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",FileEvent,Read,2021-10-09 16:24:08.148,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",103.254.188.158,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.58,0
103.254.188.158,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.73,5471
"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",103.254.188.158,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.73,1077
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",FileEvent,Read,2021-10-09 16:24:08.786,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",FileEvent,Read,2021-10-09 16:24:10.722,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" https://hoansu8292.000webhostapp.com/index3.html
PID:1340",FileEvent,Read,2021-10-09 16:24:11.574,512
