start,end,eventtype,operationtype,time,ref.size
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\6F5327CEC98E4ECC63AA9ED193307E6F029877DC,FileEvent,Write,2021-10-09 16:24:13.478,48339
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",FileEvent,Read,2021-10-09 16:24:08.843,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",FileEvent,Read,2021-10-09 16:24:09.479,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",FileEvent,Read,2021-10-09 16:24:11.705,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",FileEvent,Read,2021-10-09 16:24:11.907,512
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:12.727,8
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",111.206.176.78,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:12.190,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",111.206.176.78,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.198,1069
111.206.176.78,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.198,12969
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://opsxpert.com/all/ppp/?login=sudha@bentonbiz.com
PID:3484",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\doomed\30240,FileEvent,Delete,2021-10-09 16:24:14.499,0
